run_id,text_id,model,metric_score_threshold,total_references,unmatched_references,total_predictions,unmatched_predictions
1,1,gpt-oss:20b,0.9,4,2,5,3
1,2,gpt-oss:20b,0.9,2,1,2,1
1,3,gpt-oss:20b,0.9,3,1,4,2
1,4,gpt-oss:20b,0.9,2,0,2,0
1,5,gpt-oss:20b,0.9,2,0,4,2
1,6,gpt-oss:20b,0.9,2,1,1,0
1,7,gpt-oss:20b,0.9,1,0,2,1
1,8,gpt-oss:20b,0.9,1,1,3,3
1,9,gpt-oss:20b,0.9,1,0,2,1
1,10,gpt-oss:20b,0.9,2,0,2,0
1,11,gpt-oss:20b,0.9,3,0,3,0
1,12,gpt-oss:20b,0.9,5,1,5,1
1,13,gpt-oss:20b,0.9,3,2,4,3
1,14,gpt-oss:20b,0.9,2,0,3,1
1,15,gpt-oss:20b,0.9,3,0,3,0
1,16,gpt-oss:20b,0.9,1,0,2,1
1,17,gpt-oss:20b,0.9,1,0,1,0
1,18,gpt-oss:20b,0.9,1,0,2,1
1,19,gpt-oss:20b,0.9,3,0,4,1
1,20,gpt-oss:20b,0.9,2,2,2,2
1,21,gpt-oss:20b,0.9,3,0,3,0
1,22,gpt-oss:20b,0.9,2,0,2,0
1,23,gpt-oss:20b,0.9,3,0,3,0
1,24,gpt-oss:20b,0.9,3,0,3,0
1,25,gpt-oss:20b,0.9,3,0,3,0
1,26,gpt-oss:20b,0.9,3,1,3,1
1,27,gpt-oss:20b,0.9,2,0,2,0
1,28,gpt-oss:20b,0.9,6,0,6,0
1,29,gpt-oss:20b,0.9,2,0,2,0
1,30,gpt-oss:20b,0.9,2,0,2,0
1,31,gpt-oss:20b,0.9,2,0,2,0
1,32,gpt-oss:20b,0.9,2,0,2,0
1,33,gpt-oss:20b,0.9,4,1,5,2
1,34,gpt-oss:20b,0.9,2,0,2,0
1,35,gpt-oss:20b,0.9,3,0,3,0
1,36,gpt-oss:20b,0.9,1,0,1,0
1,37,gpt-oss:20b,0.9,3,0,3,0
1,38,gpt-oss:20b,0.9,2,0,2,0
1,39,gpt-oss:20b,0.9,1,1,1,1
1,40,gpt-oss:20b,0.9,3,0,3,0
1,41,gpt-oss:20b,0.9,0,0,1,1
1,42,gpt-oss:20b,0.9,0,0,2,2
1,43,gpt-oss:20b,0.9,0,0,4,4
