text_id,source,pages,num_chars,num_words,num_references,reference_words,non_reference_words,ratio_reference_to_total,ratio_nonref_to_total,length_category
1,2009 - video search,3,507,98,3,39,59,0.4,0.6,9
2,2009 - video search,4,335,61,2,43,18,0.7,0.3,6
3,2009 - video search,4,667,117,3,63,54,0.54,0.46,10
4,2005 - phin ,5,485,75,2,46,29,0.61,0.39,7
5,2005 - microcare,3,504,87,2,33,54,0.38,0.62,8
6,2005 - microcare,21,320,54,2,30,24,0.56,0.44,5
7,2005 - microcare,20,276,45,1,19,26,0.42,0.58,4
8,2005 - microcare,3,597,104,1,25,79,0.24,0.76,10
9,2005 - microcare,14,262,43,1,9,34,0.21,0.79,4
10,2000 - nasa x38 ,7,348,60,2,50,10,0.83,0.17,6
11,2008 - keepass,12,431,77,3,48,29,0.62,0.38,7
12,2008 - keepass,24,517,89,5,68,21,0.76,0.24,8
13,0000 - cctns,5,423,70,3,43,27,0.61,0.39,7
14,2005 - microcare,12,415,67,2,46,21,0.69,0.31,6
15,2005 - microcare,13,336,58,3,43,15,0.74,0.26,5
16,0000 - gamma j,7,265,38,1,18,20,0.47,0.53,3
17,0000 - gamma j,8,223,42,1,21,21,0.5,0.5,4
18,0000 - gamma j,8,205,34,1,12,22,0.35,0.65,3
19,1998 - themas,2,377,63,3,41,22,0.65,0.35,6
20,1998 - themas,3,315,52,2,38,14,0.73,0.27,5
21,0000 - gamma j,7,379,56,3,56,0,1.0,0.0,5
22,0000 - gamma j,7,252,37,2,37,0,1.0,0.0,3
23,0000 - gamma j,8,291,52,3,52,0,1.0,0.0,5
24,0000 - gamma j,8,231,39,3,39,0,1.0,0.0,3
25,1998 - themas,15,555,86,3,86,0,1.0,0.0,8
26,1998 - themas,17,369,68,3,68,0,1.0,0.0,6
27,1998 - themas,18,288,54,2,54,0,1.0,0.0,5
28,2008 - keepass,18,419,78,6,78,0,1.0,0.0,7
29,2008 - keepass,19,214,42,2,42,0,1.0,0.0,4
30,2009 - video search,4,318,56,2,56,0,1.0,0.0,5
31,2009 - video search,4,213,36,2,36,0,1.0,0.0,3
32,2009 - library,8,169,26,2,26,0,1.0,0.0,2
33,2009 - library,10,757,122,4,122,0,1.0,0.0,10
34,2005 - microcare,17,259,50,2,50,0,1.0,0.0,5
35,2005 - microcare,25,508,84,3,84,0,1.0,0.0,8
36,2009 - library,15,162,28,1,28,0,1.0,0.0,2
37,2010 - blit draft,7,238,40,3,40,0,1.0,0.0,4
38,2007 - ertms,25,334,50,2,50,0,1.0,0.0,5
39,2007 - ertms,14,245,39,1,39,0,1.0,0.0,3
40,2007 - ertms,31,440,73,3,73,0,1.0,0.0,7
41,1995 - gemini,40,291,45,1,0,45,0.0,1.0,4
42,2009 - library,5,268,37,1,0,37,0.0,1.0,3
43,1995 - gemini,58,383,58,1,0,58,0.0,1.0,5
44,1995 - gemini,58,93,12,1,0,12,0.0,1.0,1
45,0000 - cctns,3,307,47,1,0,47,0.0,1.0,4
46,2009 - library,3,523,71,1,0,71,0.0,1.0,7
47,0000 - cctns,10,232,37,1,0,37,0.0,1.0,3
48,0000 - cctns,11,135,22,1,0,22,0.0,1.0,2
49,2005 - microcare,9,354,59,1,0,59,0.0,1.0,5
50,2005 - microcare,14,184,31,1,0,31,0.0,1.0,3
51,2007 - eirene fun 7,13,377,49,1,0,49,0.0,1.0,4
52,2007 - eirene fun 7,13,203,29,1,0,29,0.0,1.0,2
53,2007 - eirene fun 7,23,295,39,1,0,39,0.0,1.0,3
54,0000 - gamma j,6,253,42,1,0,42,0.0,1.0,4
55,2009 - library,21,359,49,1,0,49,0.0,1.0,4
56,0000 - gamma j,22,67,14,1,0,14,0.0,1.0,1
57,2005 - phin,16,311,42,1,0,42,0.0,1.0,4
58,2009 - video search,8,163,26,1,0,26,0.0,1.0,2
59,2009 - video search,8,380,65,1,0,65,0.0,1.0,6
60,2009 - video search,7,187,31,1,0,31,0.0,1.0,3
